id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1542616744874967040,2022-06-30 21:11:07+00:00,1542616744874967040,"Children receive smaller doses of the #COVID19 vaccine, based on their age. Like the adult vaccine, the children's vaccine helps keep them from getting seriously sick. https://t.co/391AGdin84",1,7,15,0,https://twitter.com/CDCgov/status/1542616744874967040/photo/1,en,False,,CDCgov
1542616268678758400,2022-06-30 21:09:13+00:00,1542616268678758400,"Children and teens may get #COVID19 vaccines and other vaccines at the same time. If you have questions, talk to your healthcare provider. https://t.co/ZwGTua5n4K",0,0,3,0,https://twitter.com/CDCgov/status/1542616268678758400/photo/1,en,False,,CDCgov
1542606417621913607,2022-06-30 20:30:04+00:00,1542606417621913607,"As of June 30, 260 million people have received at least one dose of a #COVID19 vaccine. Of those, 222.3 million are fully vaccinated. More than 106.3 million people have received a COVID-19 booster dose. 
Find a COVID-19 vaccine or booster near you: https://t.co/xbvNiaVJKV. https://t.co/htpWsWrp3r",201,541,259,33,http://www.vaccines.gov,en,False,,CDCgov
1542590047656067073,2022-06-30 19:25:01+00:00,1542590047656067073,"NEW Listeria outbreak: 23 people sick, 20 of them live in or traveled to Florida before they got sick. No food linked to outbreak yet. CDC will provide new info as investigation progresses. https://t.co/1ygHQJ8aJ1 https://t.co/F2wrbGR6En",118,153,51,18,https://bit.ly/3I1WXCd,en,False,,CDCgov
1542574696532787200,2022-06-30 18:24:01+00:00,1542574696532787200,"Not feeling well? Wondering if you may need a #COVID19 test? CDC’s online COVID-19 Viral Testing Tool can help you decide if you need a COVID-19 test and when.  
 
Get started: https://t.co/NvtS0ZLD13. https://t.co/X7G6L2Wwkb",60,89,30,7,https://bit.ly/covid-testing-tool,en,False,,CDCgov
1542556077677752321,2022-06-30 17:10:02+00:00,1542556077677752321,"U.S. motor vehicle crash death rates were higher than most other high-income countries in 2019. To keep safe on the road, always buckle up, never drive while impaired by alcohol and/or drugs, and don’t speed.
Learn more in a new @CDCMMWR: https://t.co/EsM4LfWPHy. https://t.co/dTqpejpgzh",22,70,17,5,https://bit.ly/mm7126a1,en,False,,CDCgov
1542538505217314819,2022-06-30 16:00:13+00:00,1542538505217314819,"Everyone is at-risk from the dangers of extreme heat, but some groups are more at-risk than most. During hot weather, check on your family, friends, neighbors, and teammates to ensure they stay safe from the heat. https://t.co/VBMRyE3oiY https://t.co/F5voTY2xPZ",73,102,21,5,http://bit.ly/2glNgC8,en,False,,CDCgov
1542523417743609856,2022-06-30 15:00:16+00:00,1542523417743609856,"#HCPs: Unable to attend yesterday’s COCA call on #monkeypox? See the recorded presentation for what you need to know about the clinical presentation of the current outbreak, treatment options and how to report. Learn more: https://t.co/zDecABXq4f. https://t.co/HB0rb9lvAF",21,46,8,0,https://bit.ly/3OKn3vx,en,False,,CDCgov
1542508535761600512,2022-06-30 14:01:08+00:00,1542508535761600512,#COVID19 vaccines are safe and FDA-authorized for children ages 6 months and older. The vaccines are undergoing the most intense safety monitoring in U.S. history. https://t.co/MvpMF5ICxq,0,0,5,0,https://twitter.com/CDCgov/status/1542508535761600512/photo/1,en,False,,CDCgov
1542244149541408768,2022-06-29 20:30:33+00:00,1542244145015685121,"As of June 27, 2022, national forecasts predict 1,300–4,600 new #COVID19 deaths will likely be reported during the week ending July 23. That would bring the projected total number of U.S. deaths to 1,024,000–1,030,000. More: https://t.co/rcqjOX3Ypl. https://t.co/lzdIiptLKI",30,42,30,7,http://bit.ly/CDC_MForecast,en,False,146569971,CDCgov
