id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1542598099918618625,2022-06-30 19:57:01+00:00,1542598099918618625,"RT @TheKingsFund: And finally, the overall winner of the 2022 @GSK IMPACT Awards is..... @mapyoungpeople - congratulations! 🎉 #GSKIMPACTUK…",9,0,0,0,,en,False,,GSK
1542592559716999170,2022-06-30 19:35:00+00:00,1542592559716999170,"@dementiaforward is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity 👇",0,2,0,1,,en,False,1253307681705791488,GSK
1542591047364132864,2022-06-30 19:29:00+00:00,1542591047364132864,"@BrigstoweInfo is one of our 2022 #GSKIMPACTUK Award winners.

Click here to find out more about the amazing work of this charity 👇",3,3,0,0,,en,False,3364106609,GSK
1542589790763323394,2022-06-30 19:24:00+00:00,1542589790763323394,"@IronOverloadUK is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity👇",0,1,0,0,,en,False,1117361532,GSK
1542587524119511045,2022-06-30 19:15:00+00:00,1542587524119511045,"@mapyoungpeople is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity 👇",0,0,0,1,,en,False,2148943154,GSK
1542586267728232454,2022-06-30 19:10:00+00:00,1542586267728232454,"@ScotFamADrugs is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity 👇",1,2,0,1,,en,False,284573291,GSK
1542584507089534979,2022-06-30 19:03:00+00:00,1542584507089534979,"@BromleyWA is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity👇",3,5,0,0,,en,False,1467172664,GSK
1542583248592801794,2022-06-30 18:58:00+00:00,1542583248592801794,"@Dadsunltd  is one of our 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about the amazing work of this charity 👇",4,8,0,1,,en,False,775719655214354432,GSK
1542581736172916742,2022-06-30 18:52:00+00:00,1542581736172916742,"@trekstock is one of the 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about their work 👇",1,2,1,0,,en,False,19345062,GSK
1542577460914651136,2022-06-30 18:35:01+00:00,1542577460914651136,"@the_BHA is one of the 2022 #GSKIMPACTUK Award winners. 

Click here to find out more about their work 👇",6,8,0,4,,en,False,404083506,GSK
1542568657028521985,2022-06-30 18:00:02+00:00,1542568657028521985,"LIVE NOW on Facebook celebrating the amazing winners of the #GSKIMPACTUK Awards - come and share the great work of your favourite.

 👉 https://t.co/4NQGi7yz9F https://t.co/1rYWeYCE2N",3,13,0,0,https://gsk.to/3OOVzow,en,False,,GSK
1542538459709046791,2022-06-30 16:00:02+00:00,1542538459709046791,"Tonight, the #GSKIMPACTUK Awards recognise the amazing work this year’s winners do to improve the health and wellbeing within their communities.  

Tune in LIVE on Facebook at 19:00 to celebrate with us 👏",3,15,1,0,,en,False,,GSK
1542523906627493888,2022-06-30 15:02:12+00:00,1542523906627493888,Keeping up the momentum from #COP26 is key if we are to protect human health and the health of our planet. Sectors will need to work together so good to connect with other businesses today as part of #LCAW2022 https://t.co/r2LTkTP93h,1,10,0,0,https://twitter.com/AlokSharma_RDG/status/1542478759164792832,en,False,,GSK
1542119441210679298,2022-06-29 12:15:00+00:00,1542119441210679298,Congratulations to @HealthTree for winning the first #TargetTheFuture Think Tank Challenge! The award will accelerate efforts to ensure equitable care for #multiplemyeloma patients. Read more on their plans to help the community.,2,14,1,1,,en,False,,GSK
1542055343521406976,2022-06-29 08:00:18+00:00,1542055343521406976,"This week we are celebrating 25 years of the #GSKIMPACTUK Awards, supporting incredible local charities working to improve the health and wellbeing of their communities. Over 25 years we’ve donated nearly £7.7m to 518 charities across the UK. https://t.co/OPxSSgzvWV",6,18,0,2,https://twitter.com/GSK/status/1542055343521406976/video/1,en,False,,GSK
1542047722844332032,2022-06-29 07:30:01+00:00,1542047722844332032,"The GSK IMPACT Awards in partnership with @TheKingsFund are live on Facebook tomorrow! 

Join us to celebrate the amazing work our winning charities do to support community health and wellbeing across the UK.

#GSKIMPACTUK https://t.co/tvVpXg7Mog",4,13,2,1,https://twitter.com/GSK/status/1542047722844332032/photo/1,en,False,,GSK
1541835979878793218,2022-06-28 17:28:38+00:00,1541835979878793218,We’re using advanced technologies to gain a deeper understanding of human genetics and our immune system. #AheadTogether https://t.co/kpC3nKxsme,5,15,0,0,https://twitter.com/GSK/status/1541835979878793218/video/1,en,False,,GSK
1541692879663505411,2022-06-28 08:00:00+00:00,1541692879663505411,"Katie is on a mission to use data and tech to transform medicine discovery. No wonder the story of Apollo 11 stays top of mind for this Senior Director of AI/ML Engineering. 

Read more about her team’s mission 👇 #ItsInOurGenes",2,11,0,0,,en,False,,GSK
1540682227045916673,2022-06-25 13:04:02+00:00,1540682227045916673,"News for #investors and #media: We’ve just announced new data for an investigational treatment for chronic #hepatitisB at #ILC2022. 

Find out more: https://t.co/BaSSRCKr4m https://t.co/iVXEmSFa4D",5,20,0,1,https://gsk.to/3OILyZQ,en,False,,GSK
1540318824888680449,2022-06-24 13:00:00+00:00,1540318824888680449,"Human genetics &amp; AI/ML are 2 pieces of the drug discovery puzzle. 

For Greg, our Scientific Director of Research in Novel Human Genetics, solving puzzles is a passion and part of the job. Watch his story 👇
#ItsInOurGenes",1,13,0,1,,en,False,,GSK
1540235850184888327,2022-06-24 07:30:17+00:00,1540235850184888327,"Discover what a functional cure would mean to those living with chronic #hepatitisB and how scientists are researching new solutions to achieve this. 

#ILC2022 https://t.co/bwwQwWuIyc",3,12,2,0,https://twitter.com/GSK/status/1540235850184888327/video/1,en,False,,GSK
1540208822786162690,2022-06-24 05:42:53+00:00,1540208822786162690,#News for #investors and #media: Today we have announced results from a clinical trial of a bivalent adjuvanted COVID-19 vaccine candidate we co-developed with @sanofi.,2,19,1,1,,en,False,,GSK
1539963466815094784,2022-06-23 13:27:56+00:00,1539650052804579328,@Damini44948789 Hello - Our local office in India is best equipped to help you with products for your local market.  You can find their contact information using this link: https://t.co/0RPjiPNJrg,0,1,0,0,http://india-pharma.gsk.com/en-in/contact-us/,en,False,1106474861126279168,GSK
1539932012806651904,2022-06-23 11:22:57+00:00,1539932012806651904,"News for #investors and #media: 

Today, we’ve announced £1bn investment in R&amp;D over ten years to get ahead of infectious diseases that disproportionately impact lower-income countries.

Read more: https://t.co/fqn4kacyl5 https://t.co/0aZ1A9PvqW",8,36,1,3,https://gsk.to/3bb7RsK,en,False,,GSK
1539626267842166785,2022-06-22 15:08:01+00:00,1539626267842166785,"We aim to stop the progression of liver damage for people living with chronic #hepatitisB. 

Our researchers are investigating new solutions to get ahead of chronic hepatitis B together. #ILC2022",4,14,1,0,,en,False,,GSK
1539330760766853123,2022-06-21 19:33:47+00:00,1539330760766853123,"Drug-resistant infections threaten our health and economic security.

Tracking patterns of resistance is key to getting ahead of this threat and we’re pleased to contribute surveillance data to the new #AMR Register.

Find out more: https://t.co/aiFZI8XNGT https://t.co/PuaXui7hgz",2,7,0,0,https://gsk.to/3ybELTn,en,False,,GSK
1539158017479933953,2022-06-21 08:07:22+00:00,1539158017479933953,"‘‘Discrimination and stigma continue to fuel inequalities in health care among sexual and gender minority groups.’ 

This #PrideMonth @matthewhalse of @ViiVHC explains why we must continue to work towards better #LGBTI health equity.

#LGBTQ  #LGBTQIA #inclusion",3,12,0,0,,en,False,,GSK
1539116542482591744,2022-06-21 05:22:33+00:00,1539116542482591744,We’re using vaccine #innovation and technologies to explore new treatment strategies and get ahead of disease.,35,158,61,10,,en,False,,GSK
1538790643581046784,2022-06-20 07:47:33+00:00,1538790643581046784,"#DYK respiratory syncytial virus (#RSV) is a leading cause of acute respiratory disease globally?  

This week, we are at #ISPPD12 in Toronto, Canada discussing RSV and pneumococcal disease with pneumonia researchers from all around the globe. https://t.co/1n3kc6Msn6",4,20,0,0,https://twitter.com/GSK/status/1538790643581046784/video/1,en,False,,GSK
1537770884563447811,2022-06-17 12:15:23+00:00,1537770884563447811,We’re proud of our past but excited for our future. See more: https://t.co/vqHLrDEuBZ #AheadTogether https://t.co/zxZjFQRmGA,15,46,4,5,https://gsk.to/3NXAkRx,en,False,,GSK
1537680814645063681,2022-06-17 06:17:29+00:00,1537680814645063681,In @NatureGenet paper GSK &amp; @OpenTargets researchers pinpoint 127 genes involved in immune diseases from measuring 650K cells. Learn more in Fierce Biotech. #Innovation #Immunology #Genetics,8,36,1,0,,en,False,,GSK
1537068296394137600,2022-06-15 13:43:33+00:00,1537068296394137600,We’ve revealed the next step on our journey to become a company purely focused on biopharma innovation – here’s a taste of what more there is to come. See more: https://t.co/VHHDCNb07a #AheadTogether https://t.co/tt1zJzXTcy,7,20,1,0,https://gsk.to/3MUTCWr,en,False,,GSK
1536727954776104961,2022-06-14 15:11:10+00:00,1536727954776104961,"This year, we launched the Frontiers in Myeloma event to bring together the #multiplemyeloma community to find solutions to the most pressing challenges facing patients.

Read more from GSK’s Tania Small about the inspiring discussion held at #EHA2022. #mmsm",3,8,1,0,,en,False,,GSK
1536643611831455745,2022-06-14 09:36:01+00:00,1536643611831455745,"Jigar is determined to use his own experience to raise the visibility of #LGBTQ+ people, challenging stigma to deliver better for LGBTQ+ patients. 

#diversty #inclusion #LGBTQIA+ #pridemonth 🏳‍🌈",2,8,0,0,,en,False,,GSK
1536366829232304128,2022-06-13 15:16:11+00:00,1535683383459598338,"@ZamirKh42485760 Thank you for alerting us to this issue. I've forwarded your message to the appropriate team. If you have additional questions, please reach out to our team in India: https://t.co/0RPjiQ5kiO",0,0,0,0,http://india-pharma.gsk.com/en-in/contact-us/,en,False,1279296293777571840,GSK
