id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1542550085510303744,2022-06-30 16:46:14+00:00,1542550073564962818,"Through Bipartisan Infrastructure Law funding, IHS will allocate approximately $581 million for Tier 1 project construction costs across #IndianCountry. These projects are considered ready to fund because project planning is complete. Read more: https://t.co/SNf6YsZZKX",2,4,0,0,https://www.hhs.gov/about/news/2022/05/31/ihs-allocates-700-million-dollars-from-president-bidens-bipartisan-infrastructure-law-to-improve-tribal-water-sanitation-systems.html,en,False,911306494536224768,IHSgov
1542550081768939520,2022-06-30 16:46:13+00:00,1542550073564962818,"This included visiting a Menominee Indian Tribe of Wisconsin community sewer system repair project that will reduce energy costs, improve wastewater treatment, and reduce the risk of sewage entering homes or surfacing on the ground. https://t.co/LQIXjNTRNL",0,3,1,0,https://twitter.com/IHSgov/status/1542550081768939520/photo/1,en,False,911306494536224768,IHSgov
1542550073564962818,2022-06-30 16:46:11+00:00,1542550073564962818,"This week, IHS Acting Director Elizabeth Fowler visited IHS Bemidji Area Division of Sanitation Facilities Construction Tier 1 project sites to highlight Bipartisan Infrastructure Law funding that will expand access to clean water and sanitation systems in Native communities. https://t.co/n0lbFyM4Yr",5,12,2,1,https://twitter.com/IHSgov/status/1542550073564962818/photo/1,en,False,,IHSgov
1541857612693643267,2022-06-28 18:54:35+00:00,1541857612693643267,"Health care professionals: Join us for tomorrow’s Advancements in Diabetes webinar to learn more about immunization recommendations for adults with diabetes based on age, lifestyle, and health conditions. Join at: https://t.co/oqDxayekyt #NativeHealth #IndianCountry https://t.co/cqQBPHgNYA",0,2,0,0,https://www.ihs.gov/diabetes/training/cmece-online-edu/diabetes-online-cme-ce-education/#ULOE,en,False,,IHSgov
1541804192620232704,2022-06-28 15:22:19+00:00,1541804192620232704,"At 12 pm ET, IHS Acting Director Elizabeth Fowler will testify during a Senate Committee on Indian Affairs field hearing on “Investing in Native Communities: Transformative Opportunities in the Infrastructure Investment and Jobs Act.” Watch live at: https://t.co/MvQlWTus3F",0,2,0,0,https://www.youtube.com/watch?v=Seqh-vWdN4o,en,False,,IHSgov
1541529254286049284,2022-06-27 21:09:49+00:00,1541529250406211586,"We encourage all parents and families to vaccinate their young children as soon as possible. Contact your local IHS, tribal, or urban Indian organization facility today, or visit https://t.co/O9FHLOIA3m, to find a vaccination site near you: https://t.co/5n4ojxuI9Z #NativeHealth",1,3,0,0,https://www.vaccines.gov/,en,False,911306494536224768,IHSgov
1541529252700590080,2022-06-27 21:09:48+00:00,1541529250406211586,"This step to increase vaccine eligibility is critical in #IndianCountry, where the toll from serious disease has been more significant than in any other racial or ethnic group in the United States, regardless of age.",0,3,1,0,,en,False,911306494536224768,IHSgov
1541529250406211586,2022-06-27 21:09:48+00:00,1541529250406211586,"Today, IHS Acting Director Elizabeth Fowler visited the Gerald L. Ignace Indian Health Center, Inc., an urban Indian organization in Milwaukee, for an event to highlight the availability of #COVID19 vaccines for children 6 months and older. https://t.co/l8NCUcIc0w",8,22,3,2,https://twitter.com/IHSgov/status/1541529250406211586/photo/1,en,False,,IHSgov
1541516705226186752,2022-06-27 20:19:57+00:00,1541516705226186752,IHS recommends that everyone between the ages of 13 and 64 get tested for HIV at least once as part of their routine health care. People at higher risk should get tested more often. Talk to your health care provider today to make sure you know your HIV status. #HIVTestingDay https://t.co/5sjlDU0leR,0,0,0,0,https://twitter.com/HHSGov/status/1541406006848126977,en,False,,IHSgov
1541458654058135557,2022-06-27 16:29:16+00:00,1541458654058135557,"RT @HIVGov: #OTD in 1995, the U.S. recognized National #HIVTestingDay for the first time. Read the next post for some advances &amp; successes…",13,0,0,0,,en,False,,IHSgov
1540080800590340097,2022-06-23 21:14:10+00:00,1540080800590340097,"The Test to Treat initiative provides quick and convenient access to lifesaving COVID-19 treatment. To promote access to outpatient treatment &amp; reduce the burden of COVID disease in Native populations, IHS has recruited over 50 Test to Treat pilot sites: https://t.co/kqaApJNNF6 https://t.co/aNkTwBJG4K",4,6,0,0,https://www.ihs.gov/newsroom/ihs-blog/june-2022-blogs/ihs-test-to-treat-initiative-promotes-access-to-covid-19-outpatient-treatment/,en,False,,IHSgov
1539721099428216833,2022-06-22 21:24:51+00:00,1539721099428216833,RT @CDCgov: Yes. #COVID19 vaccines are safe and FDA-authorized for children ages 6 months and older. COVID-19 vaccines are undergoing the m…,170,0,0,0,,en,False,,IHSgov
1539295274887262213,2022-06-21 17:12:46+00:00,1539295274887262213,"Health care professionals: Join us for tomorrow’s Advancements in Diabetes webinar to learn more about various diabetic neuropathies, the presentation of symptoms, and how to diagnosis and treat these issues. Join at: https://t.co/oqDxayekyt #NativeHealth #IndianCountry https://t.co/6iQEWKQEdg",0,2,0,0,https://www.ihs.gov/diabetes/training/cmece-online-edu/diabetes-online-cme-ce-education/#ULOE,en,False,,IHSgov
1539269447772520449,2022-06-21 15:30:09+00:00,1539269447772520449,RT @CDCgov: #COVID19 Vaccine Update:  Everyone 6 months and older should get vaccinated against COVID-19. Getting vaccinated can help prote…,536,0,0,0,,en,False,,IHSgov
1538552187235745792,2022-06-19 16:00:01+00:00,1538552187235745792,"Whether you’re a new dad or a grandfather who has helped raise generations, we wish you a happy #FathersDay! Today also marks the end of #MensHealthWeek. Regular medical visits and screenings are important to your health, so get a checkup soon even if you feel well. #NativeHealth https://t.co/EOd9iFI49L",1,6,0,0,https://twitter.com/IHSgov/status/1538552187235745792/photo/1,en,False,,IHSgov
