id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1540293610108850180,2022-06-24 11:19:48+00:00,1540293610108850180,"Commitment is measured in how you show up over time.   

At Novartis we are dedicated to the elimination of Neglected Tropical Diseases and to #EndMalaria, for the last 20 years and into the future.  

#KigaliSummit #100PercentCommitted #AccesstoMedicines #BeatNTDs #EndMalaria",6,19,12,3,,en,False,,Novartis
1540228252094140418,2022-06-24 07:00:06+00:00,1540228252094140418,"We have been committed to fighting Neglected Tropical Diseases (#NTDs) and #Malaria for more than two decades.  

Our Novartis Institute for Tropical Diseases associates share their views on our legacy, impact, and science.  

#AccesstoMedicines #BeatNTDs #EndMalaria",3,10,2,3,,en,False,,Novartis
1540005617443667969,2022-06-23 16:15:25+00:00,1540005617443667969,"Commitment is measured in how you show up over time.

At Novartis we are dedicated to the elimination of Neglected Tropical Diseases and to #EndMalaria, for the last 20 years and into the future.

#KigaliSummit #100PercentCommitted #AccesstoMedicines #BeatNTDs #EndMalaria",29,303,6,0,,en,False,,Novartis
1540004803270565891,2022-06-23 16:12:11+00:00,1540004803270565891,"Did you know, 1.7 billion people suffer from Neglected Tropical Diseases and there are 241 million cases of malaria?

In our commitment to #EndMalaria and #BeatNTDs we endorse the Kigali Declaration and commit $250M USD to discover new treatments

#AccesstoMedicines #KigaliSummit",66,410,16,2,,en,False,,Novartis
1540004250838831106,2022-06-23 16:09:59+00:00,1540004250838831106,"We have been committed to fighting Neglected Tropical Diseases (#NTDs) and #Malaria for more than two decades.  

Our Novartis Institute for Tropical Diseases associates share their views on our legacy, impact, and science.  
#AccesstoMedicines #BeatNTDs #EndMalaria",26,395,7,3,,en,False,,Novartis
1540003943174078464,2022-06-23 16:08:46+00:00,1540003943174078464,Novartis endorses the Kigali Declaration on Neglected Tropical Diseases and announces a 5-year financial commitment of USD 250M to #BeatNTDs and #EndMalaria. #KigaliSummit #100PercentCommitted #AccesstoMedicines,73,689,13,0,,en,False,,Novartis
1539941202543386624,2022-06-23 11:59:28+00:00,1539941202543386624,"Did you know, 1.7 billion people suffer from Neglected Tropical Diseases and there are 241 million cases of malaria?

In our commitment to #EndMalaria and #BeatNTDs we endorse the Kigali Declaration and commit $250M USD to discover new treatments. #AccesstoMedicines #KigaliSummit",6,10,2,3,,en,False,,Novartis
1539911396598636545,2022-06-23 10:01:01+00:00,1539911396598636545,Novartis endorses the Kigali Declaration on Neglected Tropical Diseases and announces a 5-year financial commitment of USD 250M to #BeatNTDs and #EndMalaria. #KigaliSummit #100PercentCommitted #AccesstoMedicines,4,10,1,1,,en,False,,Novartis
1539624728830377986,2022-06-22 15:01:54+00:00,1539429299425579014,"@ointersexo Thanks for reaching out. We recommend you contact our local office in Brazil for this matter. They can be reached by phone at 0800 888 3003 from Monday – Friday, 8:30am - 05:00pm (GMT-3) or via email at sic.novartis@novartis.com.",0,0,0,0,,en,False,847115454036496384,Novartis
1539624628120915969,2022-06-22 15:01:30+00:00,1539308122891816960,@SheenaEMccarthy We saw your tweet. Kindly note that Mezzopram is no longer a Novartis product. Please contact your physician or pharmacist to discuss your concerns.,0,0,0,0,,en,False,23791762,Novartis
