id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1542568657582075905,2022-06-30 18:00:02+00:00,1542568657582075905,Our commitment to further reduce Greenhouse Gas emissions and aim to achieve the voluntary Net-Zero Standard by 2040. #ClimateChange,373,1250,680,154,,en,False,,pfizer
1542566493333905411,2022-06-30 17:51:26+00:00,1542566493333905411,"Craig, from Madison, WI, reflects on the advances in medical innovation since his diagnosis with prostate cancer in 2009. Learn about smart policies that support innovation for delivering life-saving treatments.",0,4,0,0,,en,False,,pfizer
1542566473129988096,2022-06-30 17:51:21+00:00,1542566473129988096,"Pfizer researchers are working tirelessly to achieve scientific breakthroughs that improve the lives of patients like Greg from Portsmouth, NH. We are dedicated to discovering cures for the patients we serve.",1,5,3,0,,en,False,,pfizer
1542559841281007619,2022-06-30 17:25:00+00:00,1542559841281007619,At Pfizer we never stop learning. That’s why we are driven to find innovative ways to manufacture and deliver our medicines and vaccines. Watch how we are applying the learnings from developing our COVID-19 vaccine across all aspects of our manufacturing. https://t.co/EN9y7cPjuC,8,30,69,2,http://on.pfizer.com/3ntCjBj,en,False,,pfizer
1542523355135221761,2022-06-30 15:00:01+00:00,1542523355135221761,"Patient Advocacy Groups provide key education and support for patients and are crucial partners in our effort to deliver breakthroughs. Learn how Pfizer partners with PAGs to improve access to technology, information &amp; care for patient during the pandemic

https://t.co/neW8hzn20e",129,467,130,20,https://on.pfizer.com/3I21Ta4,en,False,,pfizer
1542515733225017344,2022-06-30 14:29:44+00:00,1542515733225017344,"Pfizer has long been committed to reducing our impact on the environment, and we’re happy to embrace the new voluntary Net-Zero Standard and aim to cut our greenhouse gas emissions by 95% and value chain emissions by 90% by 2040. #WHClimatePledge",8,33,17,2,,en,False,,pfizer
1542466591560015872,2022-06-30 11:14:27+00:00,1542466588342878208,"Pfizer's oral treatment is not approved, but is authorized for emergency use by the FDA to treat mild-to-moderate COVID-19 in high-risk patients 12+, weighing at least 40 kg, with positive results of SARS-CoV-2 viral testing. See safety info: https://t.co/TT77ehA0S2",7,25,21,1,https://on.pfizer.com/3a1Nw98,en,False,56488059,pfizer
1542466588342878208,2022-06-30 11:14:26+00:00,1542466588342878208,We submitted a New Drug Application to the @US_FDA seeking approval for our #COVID19 oral treatment for vaccinated &amp; unvaccinated individuals at high risk for progression to severe COVID-19. We’re working towards full regulatory approval. https://t.co/bxha4WaoVR https://t.co/dqOxABqS3r,19,48,76,18,https://on.pfizer.com/3OCbNBU,en,False,,pfizer
1542266548240392196,2022-06-29 21:59:33+00:00,1542266548240392196,Register today for a Voices for the Heart event to hear former NBA player &amp; coach Don Chaney speak about his experience living with transthyretin amyloid cardiomyopathy (#ATTRCM). This event can help you or a loved one learn more about this disease &amp; how it may impact your health,4,16,0,2,,en,False,,pfizer
1542265959435616259,2022-06-29 21:57:13+00:00,1542265959435616259,"We’re excited for the upcoming Voices for the Heart event to raise awareness of hereditary transthyretin amyloid cardiomyopathy, or #ATTR-CM, a health condition that can lead to heart failure in Black, African American, and Afro-Caribbean communities. Register today:",1,7,0,4,,en,False,,pfizer
1542265829320003585,2022-06-29 21:56:42+00:00,1542265829320003585,"We’re excited for the upcoming Voices for the Heart event to raise awareness of hereditary transthyretin amyloid cardiomyopathy, or #ATTR-CM, a health condition that can lead to heart failure in Black, African American, and Afro-Caribbean communities. Register today:",0,0,0,0,,en,False,,pfizer
1542265709388070918,2022-06-29 21:56:13+00:00,1542265709388070918,"Register today for a Voices for the Heart event to hear former NBA player &amp; coach Don Chaney speak about his experience living with transthyretin amyloid cardiomyopathy, or ATTR-CM, a health condition that can lead to heart failure.",1,16,0,2,,en,False,,pfizer
1542222710566273027,2022-06-29 19:05:21+00:00,1542222710566273027,"Register today for a Voices for the Heart event to hear former NBA player &amp; coach Don Chaney speak about his experience living with transthyretin amyloid cardiomyopathy, or ATTR-CM, a health condition that can lead to heart failure.",0,0,0,0,,en,False,,pfizer
1542222575761342465,2022-06-29 19:04:49+00:00,1542222575761342465,"We’re excited for the upcoming Voices for the Heart event to raise awareness of hereditary transthyretin amyloid cardiomyopathy, or #ATTR-CM, a health condition that can lead to heart failure in Black, African American, and Afro-Caribbean communities. Register today:",0,0,0,0,,en,False,,pfizer
1542222382072565768,2022-06-29 19:04:03+00:00,1542222382072565768,Register today for a Voices for the Heart event to hear former NBA player &amp; coach Don Chaney speak about his experience living with transthyretin amyloid cardiomyopathy (#ATTRCM). This event can help you or a loved one learn more about this disease &amp; how it may impact your health,0,0,0,0,,en,False,,pfizer
1542195385460039682,2022-06-29 17:16:47+00:00,1542195385460039682,"How can patients, providers and organizations can work together to increase #healthequity? Emma Andrews, VP, Global Patient Advocacy, and Niesha Foster, VP, Global Health and Social Impact sat down with @USATODAY to discuss: https://t.co/vraL2wtD1Y",4,20,29,0,https://bit.ly/3uaXdc2,en,False,,pfizer
1542145878932307968,2022-06-29 14:00:03+00:00,1542145878932307968,"#MetastaticBreastCancer in men is not often discussed and it should be. Michael devoted his life to helping others living with mBC find their voice. Watch him w/ @meredithvieira in “mBC Voices at the Table” at https://t.co/oycKAGLHlG

Dedicated in loving memory to Michael Kovarik https://t.co/lPlBcZC4Ty",5,20,9,0,https://bit.ly/3LEY5wR,en,False,,pfizer
1541464334718615552,2022-06-27 16:51:51+00:00,1541464334718615552,"""Ya es hora de que pongamos fin de las desigualdades sanitarias.” Lea más sobre Nanette, PhD, nuestra presidenta global de vacunas, y nuestros esfuerzos para garantizar que el futuro de la atención médica incluya acceso para todos, @NewsweekEspanol. https://t.co/Ec5EiSZhXz",4,16,18,1,https://on.pfizer.com/3nmLKT0,es,False,,pfizer
1540711924647616514,2022-06-25 15:02:02+00:00,1540711924647616514,Don’t let this be the story of your summer. Applying (and reapplying) sunscreen can reduce the risk of developing melanoma by 50%. https://t.co/q8gHY5PgfP,14,50,31,9,https://twitter.com/pfizer/status/1540711924647616514/photo/1,en,False,,pfizer
1540704336069525504,2022-06-25 14:31:53+00:00,1540704196986449922,Emergency uses of the vaccine have not been approved or licensed by US FDA but have been authorized to prevent COVID-19 in ages 6mos+. See Fact Sheets: https://t.co/zCHIrvcMfM,11,25,31,5,http://cvdvaccine-us.com,en,False,56488059,pfizer
1540704196986449922,2022-06-25 14:31:20+00:00,1540704196986449922,"We, along w/ @BioNTech_Group, announced positive data from both our Omicron-adapted bivalent &amp; monovalent vaccine booster candidates. Learn more about what this means: https://t.co/WnZHeUeU1y",39,97,153,20,https://on.pfizer.com/3ygOzLN,en,False,,pfizer
1540333938094141445,2022-06-24 14:00:03+00:00,1540333938094141445,The advancement of #mRNA during the pandemic was a turning point for science and shed new light on the technology’s potential. The next wave of scientific innovation is upon us &amp; we’re working hard to apply the power of mRNA in multiple disease areas. https://t.co/OYm2CGcJux,12,32,14,3,https://on.pfizer.com/3xRpSnA,en,False,,pfizer
1540002017896275968,2022-06-23 16:01:07+00:00,1540002017896275968,"Simply put, #SPF is a crucial component to skincare every season. https://t.co/wMdXNteMbp",3,17,13,0,https://twitter.com/pfizer/status/1540002017896275968/video/1,en,False,,pfizer
1539991991869652995,2022-06-23 15:21:17+00:00,1539991991869652995,"To help eliminate the leading infectious cause of blindness, today at the #KigaliSummit we extended our global trachoma antibiotic donation program with @ITIatlanta through 2030. Learn more about what this means for #GlobalHealth: https://t.co/ZXYoQD2cuU #BeatNTDs",12,38,7,1,http://bit.ly/3NdVARC,en,False,,pfizer
1539644431183273984,2022-06-22 16:20:12+00:00,1539644431183273984,"Remote monitoring can help eliminate physical barriers such as travel time that prevent people from participating in clinical trials. In takeaways from the #FTPharma &amp; Biotech Summit, Pfizer’s Mike Gladstone shares more on how we’re using new technologies to help patients.",7,31,25,5,,en,False,,pfizer
1539629317541462019,2022-06-22 15:20:08+00:00,1539629317541462019,"What the Heck is That? Welcome to the next edition of “What the heck is that?” where we invite armchair scientists to answer the question, ""What the heck is that?"" https://t.co/IxfVvZQWF8",4,23,26,1,https://twitter.com/pfizer/status/1539629317541462019/video/1,en,False,,pfizer
1539594110348234754,2022-06-22 13:00:14+00:00,1539594110348234754,"Certain risk factors increase the chance of #COVID19 turning severe. Even if initial symptoms feel mild, if you test positive and you’re at high risk, ask your doctor ASAP about authorized oral treatment options 💊. Watch for more info. https://t.co/FrSZ8wG0ds",11,31,27,35,https://twitter.com/pfizer/status/1539594110348234754/video/1,en,False,,pfizer
1539339030491373568,2022-06-21 20:06:39+00:00,1539339030491373568,"We’re pleased to lead the way as a founding contributor of raw antimicrobial surveillance data to @VivliCenter AMR Register, enabling key decision makers access to trends in resistance #AMR https://t.co/OpnpEVsCPn",2,20,13,3,https://twitter.com/VivliCenter/status/1539276962434121728,en,False,,pfizer
1539284260145795073,2022-06-21 16:29:00+00:00,1539284260145795073,We are committed to investigating scientific breakthroughs to improve the lives of patients with non-alcoholic steatohepatitis (#NASH). Learn about our research.,0,2,0,0,,en,False,,pfizer
1539275476740362240,2022-06-21 15:54:06+00:00,1539275476740362240,Sometimes a burp can feel oh so good. https://t.co/kIkr73LwB5,4,21,10,0,https://twitter.com/pfizer/status/1539275476740362240/video/1,en,False,,pfizer
1538967456160661504,2022-06-20 19:30:08+00:00,1538967456160661504,"On #WorldRefugeeDay, we honor the millions of refugees around the world who have been forced to flee their homes. By working with @TentOrg, @welcomeus &amp; providing job opportunities through our Refugee Leadership Initiative, we are committed to supporting those in need. https://t.co/G8EQw5kZpa",4,39,22,2,https://twitter.com/pfizer/status/1538967456160661504/video/1,en,False,,pfizer
1538949277916987393,2022-06-20 18:17:54+00:00,1538949277916987393,"Do you know which factors put your patients at high risk for severe #COVID19, even if their symptoms are initially mild? Patients with these risk factors may be candidates for oral Rx COVID-19 treatments.",7,20,78,9,,en,False,,pfizer
1538949056151666700,2022-06-20 18:17:01+00:00,1538949056151666700,"Do you know what factors put patients at high risk for severe #COVID19, even if their symptoms are mild? Know which patients may be appropriate for oral Rx COVID-19 treatments.",4,11,39,3,,en,False,,pfizer
1538948752098177032,2022-06-20 18:15:49+00:00,1538948752098177032,Even patients with mild symptoms may be at high risk for severe #COVID19 if they have one or more of these risk factors. Make treatment a priority.,2,4,4,2,,en,False,,pfizer
1538749508397457410,2022-06-20 05:04:06+00:00,1538749508397457410,"Together with @valnevaSE, today we announced that we have entered into an Equity Subscription Agreement and updated the terms of our Collaboration Agreement for our Lyme disease #vaccine candidate.",16,76,23,4,,en,False,,pfizer
1537833889967783936,2022-06-17 16:25:45+00:00,1537833889967783936,"Do you know which factors put your patients at high risk for severe #COVID19, even if symptoms are mild? Oral Rx COVID-19 treatment options are available for appropriate high-risk patients. Learn more at booth #742 at @AANP_NEWS.",0,1,0,2,,en,False,,pfizer
1537833080571961344,2022-06-17 16:22:32+00:00,1537833080571961344,"Do you know what factors put patients at high risk for severe #COVID19, even if their symptoms are mild? Know which patients may be appropriate for oral Rx COVID-19 treatments. Learn more at booth #742 at @AANP_NEWS.",8,15,0,15,,en,False,,pfizer
1537832024941240321,2022-06-17 16:18:20+00:00,1537832024941240321,Even patients with mild symptoms may be at high risk for severe #COVID19 if they have one or more of these risk factors. Make treatment a priority for high-risk COVID-19 patients. Learn more at booth #742 at @AANP_NEWS.,0,5,0,8,,en,False,,pfizer
1537795225082548224,2022-06-17 13:52:07+00:00,1537795072875499520,@US_FDA @BioNTech_Group Emergency uses of the vaccine have not been approved or licensed by US FDA but have been authorized to prevent COVID-19 in ages 6mos+. See Fact Sheets: https://t.co/zCHIrvunEm,11,36,63,9,http://cvdvaccine-us.com,en,False,56488059,pfizer
1537795126281510912,2022-06-17 13:51:43+00:00,1537795072875499520,@US_FDA @BioNTech_Group Thank you to all the parents and caregivers who enrolled their children in the trial and made this authorization possible.,6,40,44,7,,en,False,56488059,pfizer
1537795072875499520,2022-06-17 13:51:30+00:00,1537795072875499520,BREAKING: @US_FDA has granted emergency use authorization for our and @BioNTech_Group’s #COVID19 vaccine for children 6 mos through 4 yrs. We will begin to ship doses as soon as directed by the U.S. government. Learn more: https://t.co/E3dNUEk5Gd,51,96,88,18,https://on.pfizer.com/3OcCix4,en,False,,pfizer
1537495664900415493,2022-06-16 18:01:46+00:00,1537495664900415493,RT @OneYoungWorld: New scholarship! The @Pfizer | @OneYoungWorld Scholarship recognises the breakthrough actions of young people who are ma…,14,0,0,0,,en,False,,pfizer
